years,wealth_mult_p10,wealth_mult_p50,wealth_mult_p90
0.0,1.0,1.0,1.0
0.08333333333333333,0.9647334948153279,1.0068023051132173,1.0383272476143794
0.16666666666666666,0.943364843498513,1.0134479847602074,1.0646120900140539
0.25,0.9252890145483081,1.0210256586994733,1.0826111945890629
0.3333333333333333,0.9106380110293328,1.0264315753612765,1.1002979080025341
0.4166666666666667,0.9049048121212981,1.0320264874952523,1.1167385031856336
0.5,0.8821963348860732,1.0398559106341596,1.1377099085646971
0.5833333333333334,0.9002986245628583,1.0442144429936036,1.147201996165161
0.6666666666666666,0.8770467916947389,1.0556276305761385,1.1658623767376797
0.75,0.8614150377728867,1.0660758186401948,1.1663325407687817
0.8333333333333334,0.842353194410713,1.0685115400031062,1.183345601086001
0.9166666666666666,0.8370120620963637,1.0759668360237185,1.194975159077944
1.0,0.8169443597113142,1.0840082178760277,1.2003729231739015
1.0833333333333333,0.8104711900989664,1.0862332792077949,1.2089496678811054
1.1666666666666667,0.8076161652509782,1.0915436557259846,1.2208429151130906
1.25,0.8104122979443529,1.1063123613038752,1.23621757323046
1.3333333333333333,0.8192308608447828,1.1112434020916295,1.244167710881823
1.4166666666666667,0.8161803314432485,1.118966273519936,1.2579882690052548
1.5,0.8068302979564127,1.1137680230434488,1.279465830075831
1.5833333333333333,0.7985168389835171,1.1182386932385981,1.2890052971417076
1.6666666666666667,0.7908592672143842,1.1178972807118028,1.3081889215067954
1.75,0.7826765268817396,1.1274572026299814,1.318803964836497
1.8333333333333333,0.7663204189594212,1.1390520309809111,1.3315099755732818
1.9166666666666667,0.7676703033700322,1.1470070453093857,1.3539041534805007
2.0,0.7725342823180494,1.157720208830618,1.3532810502871204
2.0833333333333335,0.756441667172616,1.1667444247554246,1.3687513325411338
2.1666666666666665,0.7544069168396196,1.1718064394872947,1.3670287961884027
2.25,0.7549369408190268,1.1704262220284876,1.3839582965982549
2.3333333333333335,0.7678488771648363,1.1850208971848337,1.3852125280987961
2.4166666666666665,0.7758354748424414,1.1921779832337176,1.4064290634169507
2.5,0.7676984165774773,1.2062923179905378,1.397575459121358
2.5833333333333335,0.7664627806286071,1.2041892109467058,1.401678796922403
2.6666666666666665,0.8032324002134699,1.216775826824482,1.4005291837880565
2.75,0.8054631231955559,1.2254730394285667,1.4131247720386213
2.8333333333333335,0.819198698433275,1.2351910960238581,1.420869906211183
2.9166666666666665,0.8235269507121847,1.245537848144699,1.424552661309888
3.0,0.8364852885750456,1.2505114177456487,1.4352315073967612
3.0833333333333335,0.8395801344140483,1.2565347990799545,1.448659210477562
3.1666666666666665,0.8374826832389441,1.2690980068697288,1.451342214087923
3.25,0.8461622218531167,1.2827879921309955,1.4715204331366074
3.3333333333333335,0.8504908320723982,1.293307445010814,1.4702486404588073
3.4166666666666665,0.8482991059487053,1.3011190828202897,1.4883243668555965
3.5,0.8724550898141019,1.3067393481115777,1.5117150221869529
3.5833333333333335,0.8770184521695265,1.314697218023559,1.5032836125327036
3.6666666666666665,0.8933184119286077,1.3130107078916111,1.5157262117087913
3.75,0.902683116050873,1.3243655659465579,1.5323865039823599
3.8333333333333335,0.9043612455532083,1.3164147858285045,1.5433265112846324
3.9166666666666665,0.9217004550416694,1.3239522038892968,1.5626672087449516
4.0,0.9296932787809148,1.3032545295417663,1.5645541158904148
4.083333333333333,0.930253407711256,1.325316465250207,1.5759665652016954
4.166666666666667,0.9359009133230002,1.3243090832004163,1.5940165598776714
4.25,0.943967474791362,1.312507189369962,1.6129913826094693
4.333333333333333,0.9537584830062997,1.3086869259689209,1.6212323429893747
4.416666666666667,0.9499289023502993,1.3197829323057197,1.6262304804694572
4.5,0.9553670905334634,1.332406750602336,1.6431883477878342
4.583333333333333,0.961219743485994,1.3554225983920345,1.6518233736781358
4.666666666666667,0.9656194822603276,1.3587958844640398,1.6750392586598557
4.75,0.9716933525258785,1.3752940600023882,1.6916099346960538
4.833333333333333,0.9709349046448208,1.368745077533241,1.6999261377639387
4.916666666666667,0.9711945863869258,1.3620052378017666,1.7103130112870364
5.0,0.97281931659873,1.37942636457064,1.7329844023319663
5.083333333333333,0.9664549371950228,1.3962147993076324,1.7286424910062963
5.166666666666667,0.9759319713880851,1.4105968509329716,1.7526889835667416
5.25,0.9927890876537036,1.4205691807989966,1.7599827739247451
5.333333333333333,1.0040756469538996,1.4300372942040065,1.7723457742911668
5.416666666666667,1.011705800853217,1.4298063194812674,1.7859771238041289
5.5,1.024206260780996,1.4346753011252855,1.8122760496074515
5.583333333333333,1.0318273226385941,1.4418009589839649,1.8418831724026228
5.666666666666667,1.036503905741539,1.4436759274764708,1.864925230137444
5.75,1.0354465123552594,1.4576346427593228,1.8697157494626984
5.833333333333333,1.0370701230859316,1.456544902224437,1.869112021879725
5.916666666666667,1.0483174862344775,1.4688939326386234,1.8964070958171861
6.0,1.0471227553878304,1.4934055468727396,1.8850473554755245
6.083333333333333,1.065830368716553,1.511137282287275,1.9102993522870566
6.166666666666667,1.073277159471336,1.5171345867701986,1.9347459014729034
6.25,1.069683988003621,1.5104499241685931,1.9187399760422417
6.333333333333333,1.0821495081439745,1.5283316927533463,1.9342950352815398
