key,ticker,strategy,n_buys,invested_nzd,invested_usd,final_usd,multiple_usd,xirr_usd,final_nzd,multiple_nzd
REAL,REAL,actual,294,89999.99999999972,58205.327799125625,82740.04,1.4215200416969893,0.07754163232413377,144157.96735279536,1.6017551928088423
SPY_weekly,SPY,weekly,294,89999.99999999972,58205.327799125625,122960.63248484783,2.1125322566552915,0.16813334122252832,214234.30352982378,2.3803811503313828
SPY_daily,SPY,daily,1419,89999.99999999834,58204.38666525135,122867.9423094791,2.1109739205074827,0.16798560086204892,214072.80944213987,2.378586771579376
SPY_dip,SPY,dip,1395,89999.99999999836,58216.02677946097,122907.21446784108,2.1112264313991904,0.16800315030408705,214141.2333215944,2.379347036906648
QQQ_weekly,QQQ,weekly,294,89999.99999999972,58205.327799125625,149994.27181856247,2.5769852604595367,0.21495711931206607,261335.0119232072,2.903722354702311
QQQ_daily,QQQ,daily,1419,89999.99999999834,58204.38666525135,149787.95138227785,2.5734821714340455,0.21466319449775217,260975.53983788876,2.8997282204210397
QQQ_dip,QQQ,dip,1375,89999.99999999843,58220.85201110179,149888.70465930385,2.574484905008303,0.21474376516695276,261151.08226716728,2.901678691857465
