start,end,multiple,xirr,max_dd
2000-01-05,2018-01-05,2.516873230902238,0.09479875305028894,-0.470720816536326
2006-06-01,2024-05-31,3.509040802636464,0.12642502602035832,-0.3316838609230993
2005-04-20,2023-04-20,2.9334964759149167,0.10951066428590475,-0.35380823797059946
2003-04-15,2021-04-15,3.3599998588696396,0.12237105676861543,-0.4270117713789402
2003-03-27,2021-03-26,3.2169274565430315,0.11823417309840402,-0.4284499490237198
2007-03-16,2025-03-14,3.5673637116717156,0.12797284966496789,-0.3314964658563804
1999-12-23,2017-12-22,2.4656724307380347,0.09281248814792817,-0.4710343204065228
2005-09-13,2023-09-13,3.0977532340928757,0.11471668138919588,-0.3318415159123381
2001-01-23,2019-01-23,2.3744750382012163,0.08920509591708056,-0.46046939742916115
2000-01-24,2018-01-24,2.601200907668418,0.09802475125753124,-0.47022799381776714
2004-02-09,2022-02-09,3.4887423769564565,0.1259409202386631,-0.40490327026802064
2008-04-18,2026-04-17,4.217030748394904,0.14359126775434922,-0.33120977360852644
2006-01-23,2024-01-23,3.299343068754152,0.12071172071361977,-0.33176155227965953
2006-04-18,2024-04-18,3.352199931802744,0.12215197909691014,-0.33171014938785337
2005-11-17,2023-11-17,3.0982147941666773,0.11467442768357505,-0.3318034373013258
2006-07-12,2024-07-12,3.704820441936797,0.13151652854765813,-0.33165629880530256
2003-12-23,2021-12-23,3.6246126727935732,0.1294973866474924,-0.40879983435871536
2000-05-16,2018-05-16,2.4824344976629575,0.09351501929014651,-0.4674632850493241
2007-01-11,2025-01-10,3.7244224728169706,0.13201044195456985,-0.3315373495073425
2003-05-23,2021-05-21,3.32359733564815,0.12131434031552875,-0.42465159845452116
2003-11-10,2021-11-10,3.591378419831235,0.12866450644305805,-0.4121271817158769
2002-08-27,2020-08-27,2.945679387469937,0.1099053451127787,-0.44050570562378843
2000-11-15,2018-11-15,2.466083365476994,0.09285212590090312,-0.4626500041298146
2007-11-01,2025-10-31,4.175341054757017,0.14266809516285783,-0.3313422278474154
2006-06-26,2024-06-26,3.6197750662400727,0.12940339488162073,-0.3316654928613889
2005-03-15,2023-03-15,2.7815043437355076,0.10445780949853528,-0.35938410815235966
2002-12-11,2020-12-11,3.0328638594085504,0.11265150278823086,-0.4349471187089975
2006-11-10,2024-11-08,3.8727067657939607,0.13565956080181374,-0.3315778511113383
2004-04-14,2022-04-14,3.305989378877618,0.12084274257842945,-0.39951371045296047
2003-05-01,2021-04-30,3.3596429105385415,0.12233126059674604,-0.4260627224674661
2003-05-27,2021-05-27,3.352756171338025,0.12216762036160528,-0.4241757063413817
