years,wealth_mult_p10,wealth_mult_p50,wealth_mult_p90
0.0,1.0,1.0,1.0000000000000002
0.08333333333333333,0.9486055486996078,1.0063631680919372,1.059646277025543
0.16666666666666666,0.9005716430606298,1.0187329789335229,1.0975733194070578
0.25,0.8664822591088832,1.0300791383555117,1.1348192940805288
0.3333333333333333,0.8350907920698818,1.0418811456111758,1.1578241317916584
0.4166666666666667,0.7893530931405066,1.0473916332908018,1.1810998291620582
0.5,0.7578075986230354,1.0561292249506367,1.1958988206119607
0.5833333333333334,0.7346618634086335,1.0674018076729994,1.2180219880450929
0.6666666666666666,0.7298595513320062,1.0739079562987177,1.2464551731323144
0.75,0.7426560076503628,1.0774428007179817,1.248538665485089
0.8333333333333334,0.7153619697103958,1.085437541215106,1.2852335822584104
0.9166666666666666,0.6937126709534032,1.095957752898284,1.2926360795203917
1.0,0.6898463965434624,1.095425932086731,1.2924094452966621
1.0833333333333333,0.6580803406468138,1.1039478425980889,1.3010559308093315
1.1666666666666667,0.6553006636263472,1.1137524717937857,1.313555719926234
1.25,0.6371285470237987,1.125916084854489,1.3317266148688263
1.3333333333333333,0.6203886575039547,1.1341319657513584,1.3340690975068823
1.4166666666666667,0.6205084387174348,1.1349284232228527,1.3512546369042249
1.5,0.6015192454981707,1.1396450182122773,1.3694682518378973
1.5833333333333333,0.6307497475493629,1.1424878008510284,1.3799395566837054
1.6666666666666667,0.6514010382947112,1.1528503665644092,1.3943001367173176
1.75,0.6354878747859367,1.1628610720738546,1.409471079326919
1.8333333333333333,0.6424966448309962,1.160600209524362,1.4211827221231434
1.9166666666666667,0.6582029706045956,1.1691215125055434,1.4294784557026587
2.0,0.624702558306806,1.176984282399494,1.443079929028705
2.0833333333333335,0.6325528776485118,1.191421359671842,1.4604118591572688
2.1666666666666665,0.6480657662178358,1.198546742527697,1.4665675638145705
2.25,0.6509688846567441,1.2110107448765932,1.4959611639575607
2.3333333333333335,0.6713228401152398,1.234210759026046,1.499472398774193
2.4166666666666665,0.6610243892274353,1.2467550933687406,1.509903434593558
2.5,0.6713826507902854,1.2536163834842462,1.5132591685572747
2.5833333333333335,0.6983131884474061,1.2730671034568113,1.519799302172542
2.6666666666666665,0.7026876999529386,1.2864173304123478,1.526654024206958
2.75,0.7067234078556054,1.3013525557909544,1.5440497162049105
2.8333333333333335,0.7047198910502854,1.3118538130842166,1.5659010796715598
2.9166666666666665,0.7058823937749292,1.3281536860373473,1.5737373587684809
3.0,0.7372361056891708,1.329994885391505,1.5663618398449985
3.0833333333333335,0.7528126080222467,1.3453396335036027,1.591277917328651
3.1666666666666665,0.7588516173350011,1.343300966378631,1.5923079039034047
3.25,0.7724676012564049,1.351032624164775,1.6093947013812913
3.3333333333333335,0.7746187376304716,1.3550918771295628,1.6329119078487306
3.4166666666666665,0.7697041017354943,1.3612255901626629,1.6480965966822672
3.5,0.7635719337848148,1.3580970897267606,1.6559933563651756
3.5833333333333335,0.751128180622469,1.3713572610275857,1.6697362377548157
3.6666666666666665,0.7763160342259247,1.3912562962821475,1.6768689681755962
3.75,0.789710655734482,1.4056674788613366,1.6934798469652197
3.8333333333333335,0.7764632389734479,1.3989888120787666,1.706612903616032
3.9166666666666665,0.7866861947400173,1.4233512407760194,1.7381328138476237
4.0,0.7901904360243709,1.4266050166437143,1.7535412332070979
4.083333333333333,0.803552228193503,1.4567461631089889,1.7578268102680952
4.166666666666667,0.8617355403898186,1.470282235233304,1.7823392313257123
4.25,0.8402314178133227,1.468499356218261,1.8023041007738407
4.333333333333333,0.8270583860719943,1.4821134942389547,1.8280573750086582
4.416666666666667,0.8272778051862739,1.4943227058164603,1.8630947512445872
4.5,0.8088221441551808,1.4918048312318617,1.8841759617044633
4.583333333333333,0.8120086566148071,1.5085639671144264,1.9091513527966781
4.666666666666667,0.8353229907620994,1.503875168910851,1.9240628022328785
4.75,0.827911190135175,1.5250872051673159,1.9701837842058016
4.833333333333333,0.8247517243592709,1.5097791852736688,2.0072895005905504
4.916666666666667,0.8542754281032999,1.5230499059015972,2.006827185405837
5.0,0.8480789169473198,1.5294333825052586,2.0557191753309727
5.083333333333333,0.8545538180453797,1.5495607163111895,2.1004934620132247
5.166666666666667,0.8733966798100253,1.5637912352447865,2.1526352307257017
5.25,0.910267726631406,1.5818681741738319,2.181531096804938
5.333333333333333,0.9069825700648881,1.6281837768988612,2.2111696685077415
5.416666666666667,0.9273367608584614,1.6194403046370347,2.242883351554534
5.5,0.9203497758797039,1.63031429018223,2.2935782765338706
5.583333333333333,0.9215586020062493,1.6291032888219974,2.3641715320602184
5.666666666666667,0.907858186074975,1.6472604049289705,2.3956772028810764
5.75,0.8995511886204763,1.6655589501157613,2.410490420206215
5.833333333333333,0.8963126304650607,1.6792846480206287,2.447845044556659
5.916666666666667,0.9111879841935492,1.7123391162203796,2.5030759444197836
6.0,0.9317970932176541,1.7655955851364622,2.475020449625577
6.083333333333333,0.9653340949387798,1.7853365599868605,2.52777680833255
6.166666666666667,1.0023551979891867,1.803685100219342,2.535699641148536
6.25,0.9938324061211906,1.795360704094875,2.549298311296563
6.333333333333333,1.0078437247552847,1.8221802113791887,2.538418357666675
