Date,Close
2020-10-13,116.8008804321289
2020-10-14,115.75877380371094
2020-10-15,114.92607879638672
2020-10-16,114.34037780761719
2020-10-19,112.36235046386719
2020-10-20,112.7868881225586
2020-10-21,112.93162536621094
2020-10-22,112.62286376953125
2020-10-23,112.89303588867188
2020-10-26,111.13692474365234
2020-10-27,112.01496887207031
2020-10-28,107.76941680908203
2020-10-29,109.5255355834961
2020-10-30,106.96854400634766
2020-11-02,107.00717163085938
2020-11-03,109.44930267333984
2020-11-04,113.65531921386719
2020-11-05,116.67543029785156
2020-11-06,116.75262451171875
2020-11-09,114.34037780761719
2020-11-10,112.2339859008789
2020-11-11,114.92897033691406
2020-11-12,114.26316833496094
2020-11-13,115.35352325439453
2020-11-16,115.85527801513672
2020-11-17,115.84561920166016
2020-11-18,115.3515853881836
2020-11-19,115.91316986083984
2020-11-20,115.19914245605469
2020-11-23,115.11229705810547
2020-11-24,116.79122924804688
2020-11-25,117.44636535644531
2020-11-27,118.44117736816406
2020-11-30,118.69207763671875
2020-12-01,120.34204864501953
2020-12-02,120.45783233642578
2020-12-03,120.63151550292969
2020-12-04,121.04641723632812
2020-12-07,121.41309356689453
2020-12-08,122.160888671875
2020-12-09,119.5025863647461
2020-12-10,119.89817810058594
2020-12-11,119.61837005615234
2020-12-14,120.50608825683594
2020-12-15,121.79903411865234
2020-12-16,122.45514678955078
2020-12-17,123.27532196044922
2020-12-18,122.9569091796875
2020-12-21,122.6341323852539
2020-12-22,122.97239685058594
2020-12-23,122.41183471679688
2020-12-24,122.92405700683594
2020-12-28,124.1707763671875
2020-12-29,124.31578063964844
2020-12-30,124.21910858154297
2020-12-31,124.58638000488281
2021-01-04,122.81774139404297
2021-01-05,123.79872131347656
2021-01-06,122.09290313720703
2021-01-07,125.1179428100586
2021-01-08,126.7416000366211
2021-01-11,124.84732818603516
2021-01-12,124.80867004394531
2021-01-13,125.48517608642578
2021-01-14,124.80867004394531
2021-01-15,123.80355072021484
2021-01-19,125.66879272460938
2021-01-20,128.6068572998047
2021-01-21,129.65060424804688
2021-01-22,129.2930450439453
2021-01-25,130.1145477294922
2021-01-26,130.51077270507812
2021-01-27,127.04117584228516
2021-01-28,127.65005493164062
2021-01-29,125.03093719482422
2021-02-01,128.09458923339844
2021-02-02,130.1967010498047
2021-02-03,129.71826171875
2021-02-04,131.1002655029297
2021-02-05,131.6221923828125
2021-02-08,132.4436492919922
2021-02-09,132.41468811035156
2021-02-10,132.0861053466797
2021-02-11,132.82933044433594
2021-02-12,133.6517791748047
2021-02-16,133.2845001220703
2021-02-17,132.6273193359375
2021-02-18,132.06674194335938
2021-02-19,131.39991760253906
2021-02-22,128.10427856445312
2021-02-23,127.72736358642578
2021-02-24,128.77117919921875
2021-02-25,124.21910858154297
2021-02-26,125.36921691894531
2021-03-01,128.50057983398438
2021-03-02,126.41300964355469
2021-03-03,122.78876495361328
2021-03-04,120.72054290771484
2021-03-05,122.72112274169922
2021-03-08,119.11619567871094
2021-03-09,123.93887329101562
2021-03-10,123.41695404052734
2021-03-11,126.39366912841797
2021-03-12,125.27256774902344
2021-03-15,126.64493560791016
2021-03-16,127.31175994873047
2021-03-17,127.82400512695312
2021-03-18,123.96785736083984
2021-03-19,124.4607162475586
2021-03-22,126.74150848388672
2021-03-23,126.08346557617188
2021-03-24,124.05142211914062
2021-03-25,123.83853149414062
2021-03-26,125.735107421875
2021-03-29,125.46417236328125
2021-03-30,125.02873992919922
2021-03-31,126.97369384765625
2021-04-01,129.07345581054688
2021-04-05,131.69578552246094
2021-04-06,131.49740600585938
2021-04-07,131.86024475097656
2021-04-08,133.22463989257812
2021-04-09,134.01812744140625
2021-04-12,133.9116973876953
2021-04-13,135.44056701660156
2021-04-14,133.78587341308594
2021-04-15,135.79856872558594
2021-04-16,136.04046630859375
2021-04-19,134.8115692138672
2021-04-20,133.7761688232422
